"","Open","Nifty.Vol","Chg","VIXOpen","VIXChg","GSECOpen","GSECChg","FXOpen","FXChg","OilOpen","OilChg","FII_BUY","FII_SELL","DII_BUY","DII_SELL","Nifty_PE","Nifty_Yld","NF.VolumeTrendBEAR","NF.VolumeTrendBULL","NF.VolumeTrendWEAKBEAR","NF.VolumeTrendWEAKBULL"
"101",11777.55,1370000,-0.0223,18.3475,0.2446,6.117,-0.0031,73.115,0.0019,42.91,-0.0084,16290.34,19685.83,5760.96,5080.08,32.29,3.09693403530505,1,0,0,0
"102",11602.95,807000,0.0076,18.895,-0.029,6.187,-0.0081,73.827,-0.0106,42.98,-0.0016,6618.88,5614.77,5341.4,5884.96,32.92,3.03766707168894,0,1,0,0
"103",11609.3,719780,8e-04,19.3025,-0.0211,6.201,-0.009,74.29,-0.0044,43.45,-0.0081,6625.39,5461.07,3339.96,4149.23,32.67,3.06091215182124,0,1,0,0
"104",11512.85,743440,0.0067,19.315,-6e-04,6.184,0.0075,74.225,2e-04,43.39,9e-04,6857.48,5276.17,3785.61,4980.23,32.64,3.06372549019608,0,1,0,0
"105",11513.1,638150,5e-04,19.23,0.0044,6.14,-0.0103,74.1,5e-04,42.36,0.0171,5640.95,4159.75,3913.03,4086,32.43,3.08356460067838,0,1,0,0
"106",11412,532900,0.0083,19.9375,-0.0355,6.182,0.0132,74.922,-0.01,42.48,0.0066,4444.08,4225.01,3344.75,3680.39,32.41,3.08546744831842,0,0,0,1
"107",11409.65,668720,0.0053,20.6175,-0.033,6.047,0.0233,74.98,-0.0012,42.75,-0.0056,3975.11,3564.95,4277.43,4528.08,32.08,3.11720698254364,0,0,0,1
"108",11317.45,791590,-0.0084,19.9575,0.0331,6.013,-0.0013,74.973,0.0022,42.74,-0.0082,4680.39,4948.85,3438.24,4110.47,31.91,3.13381385145722,1,0,0,0
"109",11452.15,626220,0.002,20.43,-0.0231,5.993,0.0037,74.655,0.0037,42.6,9e-04,4934.93,4475.92,3595.59,3692.72,32.09,3.11623558741041,0,1,0,0
"110",11259.8,579240,0.0123,21.3075,-0.0412,5.991,0.0018,74.74,-0.0023,42.79,0,5409.49,4274.92,2893.29,3272.67,32.03,3.12207305650952,0,0,0,1
"111",11248.9,633960,0.0061,21.6725,-0.0168,6.004,0.0017,74.903,-0.0017,42.24,0.0209,3828.93,3496.03,2766.3,3483.92,31.64,3.16055625790139,0,1,0,0
"112",11353.3,645110,-0.0108,20.5675,0.0537,5.993,0.0119,74.89,8e-04,42.33,-0.0054,5184.05,5137.66,3255.49,4052.57,31.09,3.21646831778707,1,0,0,0
"113",11334.85,562360,-7e-04,20.845,-0.0133,5.885,0.0019,74.775,3e-04,42.57,-0.0101,4569.17,4152.89,3693.86,4457.4,31.42,3.18268618714195,0,0,1,0
"114",11289,609860,-0.0012,21.36,-0.0241,5.922,-0.0032,74.615,0.0024,41.62,0.0255,4938.95,4587.8,3560.3,4499.97,31.33,3.19182891797,1,0,0,0
"115",11322.25,586090,0.0046,22.51,-0.0511,5.91,0.0017,74.855,-0.0035,41.98,-0.0079,6227.7,5214.04,2759.01,4174.55,31.37,3.18775900541919,0,1,0,0
"116",11270.25,492000,0.005,22.5775,-0.003,5.91,0.0012,75.025,-0.0021,41.5,0.0175,4892.69,4589.81,3963.32,4468.24,31.23,3.2020493115594,0,0,0,1
"117",11186.65,452630,0.0012,23.15,-0.0247,5.879,0.0041,75.073,0.0017,41.97,-0.0174,6034.73,5637.41,3442.99,3881.61,30.72,3.25520833333333,0,0,0,1
"118",11185.7,600380,0.0089,23.5675,-0.0177,5.834,0.0062,74.875,0.0014,42.19,-0.0057,5578.69,4941.26,3042.83,3510.83,30.68,3.25945241199478,0,0,0,1
"119",11155.75,667640,6e-04,23.815,-0.0104,5.84,-0.0012,74.982,-0.0035,41.56,0.0118,5976.57,6036.75,3055.35,3481.33,30.41,3.28839197632358,0,1,0,0
"120",10946.65,625740,0.0187,25.185,-0.0544,5.855,-7e-04,75.165,-0.0016,40.78,0.0168,5426.42,4722.68,3650.09,4315.78,30.39,3.29055610398157,0,0,0,1
"121",11057.55,680930,-0.0164,24.1925,0.041,5.846,0,74.918,0.0036,40.39,0.0184,13299.91,5481.42,4719.84,4855.39,29.7,3.36700336700337,1,0,0,0
"122",11139.5,642560,-0.0026,24.7275,-0.0216,5.833,0.0021,74.75,6e-04,40.34,0.0088,4283.29,5241.93,4447.93,4005.2,30.2,3.3112582781457,1,0,0,0
"123",11254.3,677760,-0.009,24.1125,0.0255,5.852,-0.0017,74.83,-0.001,41.32,-0.0327,6462.05,6254.75,5558.41,5945.65,29.46,3.39443312966735,1,0,0,0
"124",11276.9,600730,-0.0086,23.6425,0.0199,5.87,-0.0026,74.87,5e-04,41.13,0.0056,5725.05,6077.67,4301.09,4806.71,29.59,3.37952010814464,0,0,1,0
"125",11154.1,683890,0.0152,25.0175,-0.055,5.889,-0.0015,74.785,0.0015,41.65,-0.0135,5836.36,5590.41,3990.8,5008.2,29.87,3.3478406427854,0,1,0,0
"126",11225,588150,-0.0056,24.535,0.0197,5.835,0.0072,74.76,5e-04,41.26,0.0075,4090.97,4544.28,3560.65,4538.53,29.18,3.42700479780672,0,0,1,0
"127",11149.95,678940,-0.0019,24.64,-0.0043,5.815,0.0021,74.908,-7e-04,41.06,0.0054,5776.01,5366.13,4079.67,5082.65,29.35,3.40715502555366,0,0,1,0
"128",11135,621580,0.0074,24.885,-0.0098,5.825,-0.0015,74.625,0.0027,41.95,-0.0198,5509.38,3768.88,3825.47,4757.38,29.2,3.42465753424658,0,0,0,1
"129",11231.2,765070,-0.0027,24.4275,0.0187,5.841,-0.0026,74.543,9e-04,41.54,-0.0014,6908.58,5243.01,3694.53,4833.36,28.93,3.45661942620118,1,0,0,0
"130",11126.1,772000,0.0127,24.7125,-0.0115,5.814,0.0052,74.725,-0.0028,40.65,0.0282,8209.13,5943.25,3465.53,4192.92,29.01,3.44708721130645,0,1,0,0
"131",10999.45,554310,0.0111,24.1575,0.023,5.812,-0.001,74.898,-0.002,40.64,0.0054,4960.3,3250.33,3306.19,4828.18,28.86,3.46500346500346,0,0,0,1
"132",10752,676880,0.0151,25.3625,-0.0475,5.822,-0.0014,75.2,-0.0038,40.72,-0.0039,5202.81,4505.73,4072.47,4281.89,28.55,3.50262697022767,0,0,0,1
"133",10706.2,694400,0.0115,26.29,-0.0353,5.828,-3e-04,75.115,7e-04,40.97,-0.0109,4489.16,5580.24,5544.6,3884.69,28.19,3.54735721887194,0,1,0,0
"134",10701,715900,0.001,26.6375,-0.013,5.836,-0.0017,75.325,-0.0037,40.55,0.0226,4579.58,4801.28,4198.17,5097.54,27.88,3.58680057388809,0,1,0,0
"135",10750.85,532370,-0.0181,25.2525,0.0548,5.822,0.0067,75.275,0.0026,39.6,0.0047,3557.86,5123.48,3536.39,4186.09,27.85,3.59066427289048,0,0,1,0
