Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL,Nifty_PE
0.008,20.965,23.2,23.2,19.99,-0.0963,5.86,5.883,5.883,5.855,-0.0044,73.91,74.317,74.41,73.914,-0.0061,38.79,39.17,39.35,38.27,-0.0092,9962.68,4594.37,3588.71,5796.89,32.84
0.0124,23.2,24.24,24.24,20.6725,-0.0429,5.886,5.896,5.896,5.876,-0.002,74.365,74.598,75.015,74.337,-0.0033,39.15,38.15,39.25,37.26,0.0396,6302.82,6156.6,4428.91,4437.04,32.27
0.0023,24.24,25.21,25.3325,22.9175,-0.0385,5.898,5.888,5.914,5.888,0.0014,74.61,74.422,74.635,74.247,0.0015,37.66,37.03,38.32,36.57,0.0231,8481.57,6207.17,4316.48,5417.4,31.82
-0.0024,25.21,24.7525,25.9175,24.22,0.0185,5.89,5.89,5.896,5.877,0.0015,74.5,74.567,74.567,74.265,-7.00E-04,36.81,35.24,37.15,33.64,0.0285,6824.79,6084.18,3816.19,4350.16,31.43
-0.005,24.7525,24.0225,26.3,21.725,0.0304,5.8855,5.882,5.891,5.8645,0.00265,74.554,74.32,74.712,74.24,0.0025,35.79,36.07,36.6,35.21,-0.0105,6329.42,7200.3,2694.06,2062.95,31.9
-0.0134,24.0225,23.28,24.36,22.2825,0.0319,5.881,5.874,5.886,5.852,0.0038,74.37,74.23,74.533,73.938,0.0026,36.17,37.39,37.76,34.92,-0.0326,5606.53,6027.48,3325.98,3579.39,31.56
0.0103,23.28,22.195,23.465,20.08,0.0489,5.859,5.849,5.862,5.83,0.0022,74.18,73.729,74.271,73.647,0.0076,37.39,38.97,39.01,36.97,-0.0551,7833.41,8964.39,3843.24,3841.76,33.94
-0.0136,22.195,22.8325,23.1675,22.1225,-0.0279,5.846,5.849,5.86,5.83,0.0021,73.622,73.938,74.021,73.599,-0.0046,39.57,38.59,39.83,38.51,0.0262,11020.94,7506.05,4310.08,5880.88,34.49
0.0028,22.8325,21.8275,23.405,21.32,0.046,5.834,5.822,5.846,5.791,-0.0017,73.96,73.842,74.115,73.692,0.0018,38.56,39.69,39.74,38.28,-0.0324,5323.21,5442.63,3112.15,4091.31,33.95
-0.0035,21.8275,22.635,22.78,19.8325,-0.0357,5.844,5.898,5.898,5.844,-0.012,73.829,73.645,73.887,73.471,0.0023,39.85,40.61,40.92,39.57,-0.0194,6024.92,5117.99,3705.8,4597.66,34.37
0.0034,22.635,22.915,23.515,17.44,-0.0122,5.915,5.913,5.918,5.903,5.00E-04,73.66,73.68,73.808,73.519,0.001,40.64,40.04,41.02,39.71,0.0152,8325.73,7207.27,3207.37,5227.24,34.27
0.002,22.915,22.69,23.545,18.3775,0.0099,5.912,5.947,5.947,5.912,-0.0032,73.59,73.44,73.763,73.357,0.002,40.03,41.22,41.59,39.78,-0.0345,8448.11,6339.63,3951.48,5585.01,34.4
0.0094,22.69,21.8175,22.7925,18.79,0.04,5.931,5.95,5.95,5.929,-0.0015,73.44,73.342,73.558,73.295,0.0012,41.46,40.65,41.7,40.25,0.0154,6335.73,4750.66,2928.16,4561.39,34.28
0.007,21.8175,21.645,22.3175,15.465,0.008,5.94,5.932,5.944,5.921,8.00E-04,73.35,73.444,73.444,73.289,-0.0013,40.83,40.69,41.22,40.54,-0.0012,5994.22,4337.44,3278.52,4900.25,34.43
-0.0243,21.645,22.0575,22.4175,20.485,-0.0187,5.935,5.944,5.944,5.91,0.0063,73.442,73.407,73.451,73.255,3.00E-04,40.88,40.88,41.05,40.08,-0.002,4605.47,5085.06,2545.89,2975.7,34.13
0.0031,22.0575,20.21,22.275,19.0375,0.0914,5.898,5.911,5.911,5.888,-3.00E-04,73.42,73.295,73.52,73.204,0.0025,40.96,41.13,41.29,39.22,-0.0019,6544.15,7148.22,3251.11,4059.4,34.03
3.00E-04,20.21,20.715,20.9625,18.425,-0.0244,5.9,5.918,5.918,5.895,-7.00E-04,73.24,73.395,73.466,73.193,-0.0022,41.04,40.19,41.16,39.82,0.0209,7151.46,6329.6,2962.67,4238.81,34.87
0.0014,20.715,21.1275,21.65,20.525,-0.0195,5.904,5.925,5.925,5.888,8.00E-04,73.4,73.351,73.475,73.245,5.00E-04,40.2,39.53,40.53,39.35,0.0195,5797.32,4965.18,3029.17,4703.63,34.77
0.0067,21.1275,20.38,22.1,19.39,0.0367,5.899,5.945,5.945,5.889,-0.0064,73.363,73.015,73.428,73.015,0.0048,39.43,40.4,40.45,39.04,-0.0288,6100.23,5485.06,1960.27,2989.04,34.76
