,Price,Open,High,Low,Nifty.Vol,Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,FII_NET,DII_BUY,DII_SELL,DII_NET,Nifty_PE
74,11834.6,11835.4,11905.7,11791.15,608770,0.0082,20.38,20.06,20.855,18.9775,0.016,6.015,6.025,6.03,6.012,2.00E-04,73.29,73.33,73.381,73.185,-5.00E-04,41.19,39.99,41.33,39.76,0.031,6586.24,5607.87,978.37,4992.59,4972.74,19.85,34.4
75,11738.85,11679.25,11763.05,11629.35,513370,0.0066,20.06,19.635,20.3375,19.0675,0.0216,6.014,6.032,6.032,6.008,-0.002,73.33,73.55,73.613,73.254,-0.0014,39.95,39.83,40.35,39.28,-0.0177,6044.21,4950.4,1093.81,2970.15,4099.64,-1129.49,34.12
76,11662.4,11603.45,11680.3,11564.3,561450,0.0138,19.635,19.705,19.8925,18.36,-0.0036,6.026,6.026,6.036,6.01,0.0037,73.434,73.093,73.518,73.093,0.0044,40.67,39.35,40.86,39.1,0.037,6072.97,4971.21,1101.76,3076.87,4011.71,-934.84,33.9
77,11503.35,11487.8,11578.05,11452.3,530600,0.0076,19.705,18.35,20.025,18.35,0.0738,6.004,6.018,6.018,5.989,0.0013,73.11,73.295,73.481,73.07,-0.0025,39.22,37,39.72,37,0.0586,5685.56,5448.85,236.71,2779.65,3251.21,-471.56,33.43
78,11416.95,11364.45,11428.6,11347.05,447740,0.0151,18.35,19.53,19.53,17.375,-0.0604,5.996,5.965,6.006,5.965,-0.0032,73.193,73.595,73.61,73.021,-0.005,38.72,39.9,40.47,37.61,-0.0373,4708.03,3075.78,1632.25,3277.14,3017.68,259.46,33.18
79,11247.55,11244.45,11295.4,11184.55,499340,0.0022,19.53,19.775,20.215,17.675,-0.0124,6.015,6.057,6.057,6.011,-0.0036,73.56,73.817,73.865,73.522,-0.0026,40.22,39.16,40.37,38.68,0.0237,5725.27,6437.75,-712.48,3010.51,2601.04,409.47,32.69
80,11222.4,11288.6,11305.4,11181,498300,-5.00E-04,19.775,19.5725,20.1975,18.4275,0.0103,6.037,6.069,6.073,6.037,-0.0031,73.75,73.785,73.918,73.716,0,39.29,40.58,40.7,38.41,-0.0323,4346.69,5803.35,-1456.66,3244.85,2668.35,576.5,32.62
81,11227.55,11140.85,11239.35,11099.85,472780,0.016,19.5725,20.675,21.0975,19.35,-0.0533,6.056,6.068,6.079,6.042,0.003,73.75,73.685,73.862,73.526,0.0011,40.6,40.07,40.8,39.78,0.0087,4414.51,4441.49,-26.98,3041.27,2498.93,542.34,32.63
82,11050.25,10910.4,11072.6,10854.85,559600,0.0226,20.675,23.51,23.51,18.6675,-0.1206,6.038,6.041,6.041,6.003,0.0077,73.67,73.735,73.788,73.566,-0.0031,40.25,40.15,40.64,39.71,-0.0015,4383.11,6463.32,-2080.21,4210.84,2140.21,2070.63,32.12
83,10805.55,11011,11015.3,10790.2,706140,-0.0293,23.51,20.99,23.8175,20.925,0.1201,5.992,6.027,6.027,5.981,3.00E-04,73.9,73.835,74.055,73.765,0.0045,40.31,39.6,40.37,39.12,0.0095,6301.62,8187.31,-1885.69,7839.03,7650.39,188.64,30.97
