NFOpen,NFChg,FXOpen,FXChg,OilOpen,OilChg,GsecOpen,GsecChange,GoldOpen,GoldChg,VIXOpen,VIXChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL
6171.2,0.0207,62.36,-0.0094,92.71,0.0615,9.06,-0.0248,1251.4,-0.0389,21.38,-0.2928,61150.68,47684.69,20367.1,27953.16
6289.8,-0.0195,61.51,0.0126,96.32,-0.038,8.66,0.0486,1325.7,-0.0552,18.39,0.1626,52448.11,45491.74,15067.67,24214.84
5756.1,0.0983,62.56,-0.0154,102.31,-0.0581,8.71,-0.0161,1328,-0.0022,26.65,-0.3099,60286.13,42730.57,17529.64,29940.35
5480.3,0.0482,66.11,-0.0476,107.07,-0.0494,8.59,0.0198,1393,-0.0499,27.81,-0.0417,68120.4,56944.35,19922.39,29052.46
5776.9,-0.0471,60.76,0.0799,105.26,0.0249,8.17,0.0519,1323,0.0638,18.77,0.4816,70692.6,78163.07,31033.5,24748.78
5834.1,-0.0172,59.47,0.0221,96.58,0.0877,7.46,0.0985,1234.7,0.0724,17.95,0.0457,61815.09,62229.57,28396.17,29937.02
5997.4,-0.024,56.51,0.0522,91.73,0.0499,7.42,-0.0005,1389.1,-0.1212,16.99,0.0565,54317.73,65743.14,28336.69,19909.27
5911.4,0.0094,53.81,0.0538,93.08,-0.0159,7.71,-0.0373,1475.8,-0.0541,15.1,0.1252,70499.57,56033.67,19423.8,31476.23
5697.4,0.0436,54.27,-0.0111,97.36,-0.0388,7.96,-0.0277,1596.8,-0.0769,15.22,-0.0079,55439.86,50798.29,17292.29,20290.56
5702.5,-0.0018,54.37,-0.0016,91.76,0.0563,7.86,0.01,1579.6,0.0108,14.86,0.0242,65561.74,56138.67,19101.35,26973.8
6041.0,-0.0566,53.22,0.0207,97.42,-0.0558,7.93,-0.0051,1663.9,-0.0499,14.13,0.0517,67980.27,58447.24,19148.86,27967.36
5937.7,0.022,55,-0.0315,91.78,0.0618,7.98,-0.017,1672.8,-0.0085,14.95,-0.0548,74013.68,54815.8,23690.75,39898.07
5878.3,0.0043,54.36,0.0135,88.85,0.0327,8.17,-0.0154,1714.9,-0.0211,15.15,-0.0132,58290.81,43924.32,19385.77,28288.88
5609.9,0.0463,53.81,0.0086,86.1,0.031,8.22,-0.0049,1722.3,-0.0038,14.4,0.0521,43328.18,37036.67,12145.65,16347.07
5704.8,-0.0147,52.83,0.0182,92.15,-0.0645,8.15,0.0081,1766,-0.0303,16.16,-0.1089,52306.07,43863.14,19653.76,24348.87
